stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
TIMETECHNO.NS,0.7121,0.3327,0.0462,0.0718,0.0869,0.1489,0.5667,1.0,0.1195,0.2,2025-09-08,2025-09-07 19:42:05
NATIONALUM.NS,0.7121,0.4029,0.0973,0.1325,0.1353,0.0527,0.5333,1.0,-0.1047,0.2,2025-09-08,2025-09-07 19:42:04
JSL.NS,0.7108,0.3624,0.095,0.0412,0.0515,0.0996,0.5,1.0,0.1093,0.0,2025-09-08,2025-09-07 19:42:04
ABSLAMC.NS,0.7103,0.3557,0.0974,-0.0287,0.0882,0.2128,0.5167,0.0,-0.0347,0.0,2025-09-08,2025-09-07 19:42:04
DODLA.NS,0.7092,0.2618,0.0115,0.1189,0.0987,0.2766,0.5833,0.5,0.185,0.2,2025-09-08,2025-09-07 19:42:05
ANURAS.NS,0.7087,0.4821,-0.0131,-0.0384,0.0214,0.2243,0.4667,0.0,0.5385,-0.2,2025-09-08,2025-09-07 19:42:05
MANAPPURAM.NS,0.7079,0.2701,0.0451,0.0748,0.0593,0.2017,0.4667,1.0,0.8602,0.6,2025-09-08,2025-09-07 19:42:05
ASTRAMICRO.NS,0.705,0.3497,-0.0524,0.0047,-0.0763,0.3272,0.4667,0.5,0.3174,-0.2,2025-09-08,2025-09-07 19:42:05
ASHOKLEY.NS,0.7049,0.2446,0.0561,0.0777,0.1198,0.1912,0.4833,1.0,0.1391,0.0,2025-09-08,2025-09-07 19:42:04
MOTILALOFS.NS,0.7016,0.3828,0.0176,-0.0594,0.0507,0.249,0.4667,0.0,-0.032,-0.4,2025-09-08,2025-09-07 19:42:04
SENCO.NS,0.6985,0.1415,0.0976,0.071,0.0777,0.2305,0.4333,1.0,-0.3285,0.2,2025-09-08,2025-09-07 19:42:05
PGHL.NS,0.6958,0.245,0.1121,0.0344,0.1376,0.1192,0.5,1.0,0.2845,0.6,2025-09-08,2025-09-07 19:42:05
BEML.NS,0.6953,0.3312,-0.0808,0.0087,-0.0064,0.3518,0.4667,0.5,-0.0178,0.2,2025-09-08,2025-09-07 19:42:05
MEDANTA.NS,0.6934,0.1004,0.2383,0.0214,0.1636,0.1057,0.55,1.0,0.3037,0.2,2025-09-08,2025-09-07 19:42:04
JKPAPER.NS,0.6918,0.2478,0.0983,0.1348,0.0587,0.1987,0.45,0.5,-0.0485,-0.2,2025-09-08,2025-09-07 19:42:05
HONASA.NS,0.6899,0.317,-0.0344,0.0798,-0.0246,0.2035,0.4667,1.0,0.3139,0.0,2025-09-08,2025-09-07 19:42:05
UTIAMC.NS,0.6899,0.3176,0.0583,-0.0081,0.0737,0.2271,0.5,0.0,0.0336,0.2,2025-09-08,2025-09-07 19:42:05
ASKAUTOLTD.NS,0.6897,0.2956,0.0542,0.1352,0.1546,0.1691,0.5167,0.5,0.1732,0.0,2025-09-08,2025-09-07 19:42:05
LALPATHLAB.NS,0.6886,0.1853,0.1843,-0.0292,0.1081,0.1564,0.4667,0.5,0.0785,0.2,2025-09-08,2025-09-07 19:42:04
USHAMART.NS,0.688,0.2328,0.1166,0.0816,0.1965,0.0949,0.5,1.0,-0.01,0.2,2025-09-08,2025-09-07 19:42:05
MFSL.NS,0.6872,0.319,-0.0353,-0.0136,0.0611,0.2869,0.5833,0.0,0.327,0.2,2025-09-08,2025-09-07 19:42:04
CGPOWER.NS,0.6869,0.2524,0.0937,0.1082,0.1043,0.1131,0.5,1.0,-0.0325,-0.2,2025-09-08,2025-09-07 19:42:04
NIACL.NS,0.6839,0.2194,0.0597,0.0669,0.0292,0.1804,0.4167,1.0,0.03,0.4,2025-09-08,2025-09-07 19:42:04
JIOFIN.NS,0.6823,0.3498,0.0237,-0.0623,0.036,0.2242,0.4667,0.0,-0.0477,0.0,2025-09-08,2025-09-07 19:42:04
INDIANB.NS,0.6796,0.2602,0.0458,-0.0047,0.0839,0.1938,0.4833,0.5,0.2191,0.4,2025-09-08,2025-09-07 19:42:04
DMART.NS,0.6793,0.1394,0.1123,0.1014,0.1746,0.1507,0.4833,1.0,0.311,0.2,2025-09-08,2025-09-07 19:42:04
KIMS.NS,0.6782,0.1737,0.0935,-0.0067,0.1091,0.1962,0.6,0.5,0.2575,0.4,2025-09-08,2025-09-07 19:42:04
RELAXO.NS,0.6755,0.2094,0.1779,0.1456,0.1015,0.1099,0.5,0.5,-0.2335,0.0,2025-09-08,2025-09-07 19:42:04
JPPOWER.NS,0.6745,0.2497,0.0612,0.0275,0.0484,0.1914,0.4167,0.5,0.0979,0.2,2025-09-08,2025-09-07 19:42:05
HINDUNILVR.NS,0.674,0.1246,0.1522,0.0594,0.1773,0.1143,0.5,1.0,0.0679,0.2,2025-09-08,2025-09-07 19:42:04
APARINDS.NS,0.6716,0.5489,-0.097,-0.0911,0.0007,0.1973,0.4333,0.0,-0.2056,-0.2,2025-09-08,2025-09-07 19:42:04
DABUR.NS,0.6699,0.1663,0.1474,0.0921,0.1978,0.0605,0.6167,1.0,0.0475,0.0,2025-09-08,2025-09-07 19:42:04
SARDAEN.NS,0.6693,0.1741,0.2808,0.0288,0.1367,0.0299,0.5167,0.5,0.3179,0.0,2025-09-08,2025-09-07 19:42:05
ESCORTS.NS,0.6683,0.134,0.1056,0.086,0.178,0.1328,0.4833,1.0,0.0346,0.6,2025-09-08,2025-09-07 19:42:04
BAJAJ-AUTO.NS,0.6669,0.1638,0.0761,0.1049,0.1157,0.133,0.5667,1.0,0.0125,0.0,2025-09-08,2025-09-07 19:42:04
GLAND.NS,0.6669,0.3459,0.0711,-0.0374,0.1567,0.1204,0.55,0.0,0.1107,0.4,2025-09-08,2025-09-07 19:42:04
MRF.NS,0.6656,0.2063,0.0404,0.0691,0.0935,0.2039,0.4667,0.5,0.1906,0.4,2025-09-08,2025-09-07 19:42:04
SKFINDIA.NS,0.6642,0.2641,0.037,0.0999,0.0565,0.1681,0.4667,0.5,-0.0185,-0.2,2025-09-08,2025-09-07 19:42:04
ASAHIINDIA.NS,0.6633,0.2094,0.1309,-0.0288,0.0741,0.1831,0.5,0.0,0.1994,0.0,2025-09-08,2025-09-07 19:42:05
APOLLOHOSP.NS,0.6622,0.1354,0.104,0.0024,0.1288,0.1334,0.4333,1.0,0.1244,0.4,2025-09-08,2025-09-07 19:42:04
JINDALSTEL.NS,0.6607,0.2241,0.0834,0.0606,0.1061,0.0764,0.5167,1.0,0.163,0.2,2025-09-08,2025-09-07 19:42:04
GILLETTE.NS,0.658,0.3173,-0.0262,0.023,0.0301,0.1682,0.4833,0.5,0.0724,0.0,2025-09-08,2025-09-07 19:42:04
ERIS.NS,0.657,0.2549,0.0717,0.0294,-0.0206,0.1975,0.5167,0.0,0.1866,0.2,2025-09-08,2025-09-07 19:42:04
LXCHEM.NS,0.6556,0.2354,0.0743,0.1586,0.0342,0.0945,0.3667,1.0,-0.1902,0.4,2025-09-08,2025-09-07 19:42:05
AADHARHFC.NS,0.6554,0.093,0.1514,0.0202,0.1616,0.0959,0.5,1.0,0.2059,0.0,2025-09-08,2025-09-07 19:42:04
SCI.NS,0.6542,0.2443,-0.0279,0.0407,0.0442,0.2146,0.45,0.5,-0.0632,0.0,2025-09-08,2025-09-07 19:42:05
EIHOTEL.NS,0.6541,0.1202,0.1351,0.0508,0.0956,0.0959,0.5167,1.0,0.1182,0.2,2025-09-08,2025-09-07 19:42:04
HINDALCO.NS,0.6536,0.2151,0.0867,0.0716,0.19,0.0461,0.5333,1.0,0.1352,0.2,2025-09-08,2025-09-07 19:42:04
NMDC.NS,0.6521,0.1609,0.0719,0.0746,0.0558,0.1176,0.5333,1.0,0.0307,0.0,2025-09-08,2025-09-07 19:42:04
GRSE.NS,0.652,0.4259,-0.188,-0.0641,-0.1074,0.4391,0.4,0.0,0.4618,0.2,2025-09-08,2025-09-07 19:42:04
WHIRLPOOL.NS,0.6495,0.2258,-0.0372,0.0923,0.0193,0.2246,0.4833,0.5,-0.2466,0.2,2025-09-08,2025-09-07 19:42:04
SAILIFE.NS,0.6485,0.1154,0.1484,-0.0311,0.1097,0.1268,0.5667,0.5,0.0,0.5556,2025-09-08,2025-09-07 19:42:05
ACI.NS,0.6479,0.1257,0.0887,0.0168,0.0795,0.1232,0.4667,1.0,-0.0058,-0.2,2025-09-08,2025-09-07 19:42:05
GSFC.NS,0.6477,0.1509,0.0685,0.0554,0.0367,0.1305,0.45,1.0,0.0468,-0.2,2025-09-08,2025-09-07 19:42:05
IIFLCAPS.NS,0.646,0.4465,-0.1421,-0.0762,-0.0712,0.2255,0.4167,0.0,-0.079,-0.2,2025-09-08,2025-09-07 19:42:05
BRITANNIA.NS,0.6457,0.1427,0.0571,0.1468,0.1257,0.1666,0.6,0.5,0.2361,0.4,2025-09-08,2025-09-07 19:42:04
